f_code,coc,nam,laa,pop,ypc,adm_code,salb,soc
FA001,JPN,Hokkai Do,Sapporo Shi,"1930496","2014","01100",UNK,JPN
FA001,JPN,Hokkai Do,Hakodate Shi,"274485","2014","01202",UNK,JPN
FA001,JPN,Hokkai Do,Otaru Shi,"127224","2014","01203",UNK,JPN
FA001,JPN,Hokkai Do,Asahikawa Shi,"349057","2014","01204",UNK,JPN
FA001,JPN,Hokkai Do,Muroran Shi,"91276","2014","01205",UNK,JPN
FA001,JPN,Hokkai Do,Kushiro Shi,"180160","2014","01206",UNK,JPN
FA001,JPN,Hokkai Do,Kushiro Shi,"-89999999","2014","01206",UNK,JPN
FA001,JPN,Hokkai Do,Obihiro Shi,"169104","2014","01207",UNK,JPN
FA001,JPN,Hokkai Do,Kitami Shi,"123401","2014","01208",UNK,JPN
FA001,JPN,Hokkai Do,Yubari Shi,"9801","2014","01209",UNK,JPN
FA001,JPN,Hokkai Do,Iwamizawa Shi,"87284","2014","01210",UNK,JPN
FA001,JPN,Hokkai Do,Abashiri Shi,"38240","2014","01211",UNK,JPN
FA001,JPN,Hokkai Do,Rumoi Shi,"23451","2014","01212",UNK,JPN
FA001,JPN,Hokkai Do,Tomakomai Shi,"174469","2014","01213",UNK,JPN
FA001,JPN,Hokkai Do,Wakkanai Shi,"37248","2014","01214",UNK,JPN
FA001,JPN,Hokkai Do,Wakkanai Shi,"-89999999","2014","01214",UNK,JPN
FA001,JPN,Hokkai Do,Bibai Shi,"24488","2014","01215",UNK,JPN
FA001,JPN,Hokkai Do,Ashibetsu Shi,"15870","2014","01216",UNK,JPN
FA001,JPN,Hokkai Do,Ebetsu Shi,"120805","2014","01217",UNK,JPN
FA001,JPN,Hokkai Do,Akabira Shi,"11711","2014","01218",UNK,JPN
FA001,JPN,Hokkai Do,Monbetsu Shi,"24039","2014","01219",UNK,JPN
FA001,JPN,Hokkai Do,Shibetsu Shi,"21075","2014","01220",UNK,JPN
FA001,JPN,Hokkai Do,Nayoro Shi,"29542","2014","01221",UNK,JPN
FA001,JPN,Hokkai Do,Mikasa Shi,"9699","2014","01222",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"28549","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Nemuro Shi,"-89999999","2014","01223",UNK,JPN
FA001,JPN,Hokkai Do,Chitose Shi,"95481","2014","01224",UNK,JPN
FA001,JPN,Hokkai Do,Takikawa Shi,"42294","2014","01225",UNK,JPN
FA001,JPN,Hokkai Do,Sunagawa Shi,"18444","2014","01226",UNK,JPN
FA001,JPN,Hokkai Do,Utashinai Shi,"4033","2014","01227",UNK,JPN
FA001,JPN,Hokkai Do,Fukagawa Shi,"22705","2014","01228",UNK,JPN
FA001,JPN,Hokkai Do,Furano Shi,"23579","2014","01229",UNK,JPN
FA001,JPN,Hokkai Do,Noboribetsu Shi,"50889","2014","01230",UNK,JPN
FA001,JPN,Hokkai Do,Eniwa Shi,"68893","2014","01231",UNK,JPN
FA001,JPN,Hokkai Do,Date Shi,"-89999999","2014","01233",UNK,JPN
FA001,JPN,Hokkai Do,Date Shi,"36195","2014","01233",UNK,JPN
FA001,JPN,Hokkai Do,Kitahiroshima Shi,"59931","2014","01234",UNK,JPN
FA001,JPN,Hokkai Do,Ishikari Shi,"59986","2014","01235",UNK,JPN
FA001,JPN,Hokkai Do,Hokuto Shi,"48323","2014","01236",UNK,JPN
FA001,JPN,Hokkai Do,Tobetsu Cho,"17606","2014","01303",UNK,JPN
FA001,JPN,Hokkai Do,Shinshinotsu Mura,"3377","2014","01304",UNK,JPN
FA001,JPN,Hokkai Do,Masaki Cho,"8501","2014","01331",UNK,JPN
FA001,JPN,Hokkai Do,Masaki Cho,"-89999999","2014","01331",UNK,JPN
FA001,JPN,Hokkai Do,Masaki Cho,"-89999999","2014","01331",UNK,JPN
FA001,JPN,Hokkai Do,Fukushima Cho,"4797","2014","01332",UNK,JPN
FA001,JPN,Hokkai Do,Shiriuchi Cho,"4880","2014","01333",UNK,JPN
FA001,JPN,Hokkai Do,Kikonai Cho,"4815","2014","01334",UNK,JPN
FA001,JPN,Hokkai Do,Nanae Cho,"28824","2014","01337",UNK,JPN
FA001,JPN,Hokkai Do,Shikabe Cho,"4311","2014","01343",UNK,JPN
FA001,JPN,Hokkai Do,Mori Machi,"17285","2014","01345",UNK,JPN
FA001,JPN,Hokkai Do,Yakumo Cho,"18137","2014","01346",UNK,JPN
FA001,JPN,Hokkai Do,Oshamanbe Cho,"6041","2014","01347",UNK,JPN
FA001,JPN,Hokkai Do,Esashi Cho,"8579","2014","01361",UNK,JPN
FA001,JPN,Hokkai Do,Kaminokuni Cho,"5593","2014","01362",UNK,JPN
FA001,JPN,Hokkai Do,Assabu Cho,"4352","2014","01363",UNK,JPN
FA001,JPN,Hokkai Do,Otobe Cho,"4186","2014","01364",UNK,JPN
FA001,JPN,Hokkai Do,Okushiri Cho,"2963","2014","01367",UNK,JPN
FA001,JPN,Hokkai Do,Okushiri Cho,"-89999999","2014","01367",UNK,JPN
FA001,JPN,Hokkai Do,Imakane Cho,"5802","2014","01370",UNK,JPN
FA001,JPN,Hokkai Do,Setana Cho,"9017","2014","01371",UNK,JPN
FA001,JPN,Hokkai Do,Shimamaki Mura,"1674","2014","01391",UNK,JPN
FA001,JPN,Hokkai Do,Suttsu Cho,"3353","2014","01392",UNK,JPN
FA001,JPN,Hokkai Do,Kuromatsunai Cho,"3136","2014","01393",UNK,JPN
FA001,JPN,Hokkai Do,Rankoshi Cho,"5133","2014","01394",UNK,JPN
FA001,JPN,Hokkai Do,Niseko Cho,"4857","2014","01395",UNK,JPN
FA001,JPN,Hokkai Do,Makkari Mura,"2151","2014","01396",UNK,JPN
FA001,JPN,Hokkai Do,Rusutsu Mura,"1905","2014","01397",UNK,JPN
FA001,JPN,Hokkai Do,Kimobetsu Cho,"2448","2014","01398",UNK,JPN
FA001,JPN,Hokkai Do,Kyogoku Cho,"3267","2014","01399",UNK,JPN
FA001,JPN,Hokkai Do,Kutchan Cho,"15816","2014","01400",UNK,JPN
FA001,JPN,Hokkai Do,Kyowa Cho,"6399","2014","01401",UNK,JPN
FA001,JPN,Hokkai Do,Iwanai Cho,"14146","2014","01402",UNK,JPN
FA001,JPN,Hokkai Do,Tomari Mura,"1825","2014","01403",UNK,JPN
FA001,JPN,Hokkai Do,Kamoenai Mura,"977","2014","01404",UNK,JPN
FA001,JPN,Hokkai Do,Shakotan Cho,"2386","2014","01405",UNK,JPN
FA001,JPN,Hokkai Do,Shakotan Cho,"-89999999","2014","01405",UNK,JPN
FA001,JPN,Hokkai Do,Furubira Cho,"3512","2014","01406",UNK,JPN
FA001,JPN,Hokkai Do,Niki Cho,"3595","2014","01407",UNK,JPN
FA001,JPN,Hokkai Do,Yoichi Cho,"20459","2014","01408",UNK,JPN
FA001,JPN,Hokkai Do,Akaigawa Mura,"1143","2014","01409",UNK,JPN
FA001,JPN,Hokkai Do,Nanporo Cho,"8280","2014","01423",UNK,JPN
FA001,JPN,Hokkai Do,Naie Cho,"5987","2014","01424",UNK,JPN
FA001,JPN,Hokkai Do,Kamisunagawa Cho,"3630","2014","01425",UNK,JPN
FA001,JPN,Hokkai Do,Yuni Cho,"5704","2014","01427",UNK,JPN
FA001,JPN,Hokkai Do,Naganuma Cho,"11655","2014","01428",UNK,JPN
FA001,JPN,Hokkai Do,Kuriyama Cho,"12930","2014","01429",UNK,JPN
FA001,JPN,Hokkai Do,Tsukigata Cho,"3708","2014","01430",UNK,JPN
FA001,JPN,Hokkai Do,Urausu Cho,"2102","2014","01431",UNK,JPN
FA001,JPN,Hokkai Do,Shintotsukawa Cho,"6967","2014","01432",UNK,JPN
FA001,JPN,Hokkai Do,Moseushi Cho,"3330","2014","01433",UNK,JPN
FA001,JPN,Hokkai Do,Chippubetsu Cho,"2646","2014","01434",UNK,JPN
FA001,JPN,Hokkai Do,Uryu Cho,"2780","2014","01436",UNK,JPN
FA001,JPN,Hokkai Do,Hokuryu Cho,"2080","2014","01437",UNK,JPN
FA001,JPN,Hokkai Do,Numata Cho,"3416","2014","01438",UNK,JPN
FA001,JPN,Hokkai Do,Takasu Cho,"7300","2014","01452",UNK,JPN
FA001,JPN,Hokkai Do,Higashikagura Cho,"10050","2014","01453",UNK,JPN
FA001,JPN,Hokkai Do,Toma Cho,"7005","2014","01454",UNK,JPN
FA001,JPN,Hokkai Do,Pippu Cho,"4000","2014","01455",UNK,JPN
FA001,JPN,Hokkai Do,Aibetsu Cho,"3207","2014","01456",UNK,JPN
FA001,JPN,Hokkai Do,Kamikawa Cho,"4064","2014","01457",UNK,JPN
FA001,JPN,Hokkai Do,Higashikawa Cho,"7948","2014","01458",UNK,JPN
FA001,JPN,Hokkai Do,Biei Cho,"10681","2014","01459",UNK,JPN
FA001,JPN,Hokkai Do,Kamifurano Cho,"11498","2014","01460",UNK,JPN
FA001,JPN,Hokkai Do,Nakafurano Cho,"5401","2014","01461",UNK,JPN
FA001,JPN,Hokkai Do,Minamifurano Cho,"2744","2014","01462",UNK,JPN
FA001,JPN,Hokkai Do,Shimukappu Mura,"1220","2014","01463",UNK,JPN
FA001,JPN,Hokkai Do,Wassamu Cho,"3768","2014","01464",UNK,JPN
FA001,JPN,Hokkai Do,Kenbuchi Cho,"3451","2014","01465",UNK,JPN
FA001,JPN,Hokkai Do,Shimokawa Cho,"3531","2014","01468",UNK,JPN
FA001,JPN,Hokkai Do,Bifuka Cho,"4791","2014","01469",UNK,JPN
FA001,JPN,Hokkai Do,Otoineppu Mura,"828","2014","01470",UNK,JPN
FA001,JPN,Hokkai Do,Nakagawa Cho,"1743","2014","01471",UNK,JPN
FA001,JPN,Hokkai Do,Horokanai Cho,"1645","2014","01472",UNK,JPN
FA001,JPN,Hokkai Do,Mashike Cho,"5003","2014","01481",UNK,JPN
FA001,JPN,Hokkai Do,Obira Cho,"3473","2014","01482",UNK,JPN
FA001,JPN,Hokkai Do,Tomamae Cho,"3482","2014","01483",UNK,JPN
FA001,JPN,Hokkai Do,Haboro Cho,"7719","2014","01484",UNK,JPN
FA001,JPN,Hokkai Do,Haboro Cho,"-89999999","2014","01484",UNK,JPN
FA001,JPN,Hokkai Do,Haboro Cho,"-89999999","2014","01484",UNK,JPN
FA001,JPN,Hokkai Do,Shosanbetsu Mura,"1352","2014","01485",UNK,JPN
FA001,JPN,Hokkai Do,Enbetsu Cho,"2951","2014","01486",UNK,JPN
FA001,JPN,Hokkai Do,Teshio Cho,"3424","2014","01487",UNK,JPN
FA001,JPN,Hokkai Do,Sarufutsu Mura,"2820","2014","01511",UNK,JPN
FA001,JPN,Hokkai Do,Hamatonbetsu Cho,"4000","2014","01512",UNK,JPN
FA001,JPN,Hokkai Do,Nakatonbetsu Cho,"1907","2014","01513",UNK,JPN
FA001,JPN,Hokkai Do,Esashi Cho,"8891","2014","01514",UNK,JPN
FA001,JPN,Hokkai Do,Toyotomi Cho,"4217","2014","01516",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"2818","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rishiri Cho,"2290","2014","01518",UNK,JPN
FA001,JPN,Hokkai Do,Rishirifuji Cho,"2784","2014","01519",UNK,JPN
FA001,JPN,Hokkai Do,Horonobe Cho,"2553","2014","01520",UNK,JPN
FA001,JPN,Hokkai Do,Bihoro Cho,"21038","2014","01543",UNK,JPN
FA001,JPN,Hokkai Do,Tsubetsu Cho,"5369","2014","01544",UNK,JPN
FA001,JPN,Hokkai Do,Shari Cho,"12339","2014","01545",UNK,JPN
FA001,JPN,Hokkai Do,Kiyosato Cho,"4406","2014","01546",UNK,JPN
FA001,JPN,Hokkai Do,Koshimizu Cho,"5279","2014","01547",UNK,JPN
FA001,JPN,Hokkai Do,Kunneppu Cho,"5410","2014","01549",UNK,JPN
FA001,JPN,Hokkai Do,Oketo Cho,"3209","2014","01550",UNK,JPN
FA001,JPN,Hokkai Do,Saroma Cho,"5744","2014","01552",UNK,JPN
FA001,JPN,Hokkai Do,Engaru Cho,"21747","2014","01555",UNK,JPN
FA001,JPN,Hokkai Do,Yubetsu Cho,"9715","2014","01559",UNK,JPN
FA001,JPN,Hokkai Do,Takinoue Cho,"2895","2014","01560",UNK,JPN
FA001,JPN,Hokkai Do,Okoppe Cho,"4160","2014","01561",UNK,JPN
FA001,JPN,Hokkai Do,Nishiokoppe Mura,"1173","2014","01562",UNK,JPN
FA001,JPN,Hokkai Do,Omu Cho,"4784","2014","01563",UNK,JPN
FA001,JPN,Hokkai Do,Ozora Cho,"7841","2014","01564",UNK,JPN
FA001,JPN,Hokkai Do,Toyoura Cho,"4369","2014","01571",UNK,JPN
FA001,JPN,Hokkai Do,Sobetsu Cho,"2751","2014","01575",UNK,JPN
FA001,JPN,Hokkai Do,Shiraoi Cho,"18743","2014","01578",UNK,JPN
FA001,JPN,Hokkai Do,Atsuma Cho,"4733","2014","01581",UNK,JPN
FA001,JPN,Hokkai Do,Toyako Cho,"9783","2014","01584",UNK,JPN
FA001,JPN,Hokkai Do,Abira Cho,"8684","2014","01585",UNK,JPN
